sr,sg,sb,cr,cg,cb,mr,mg,mb,tr,tg,tb,y_matrix,y_target,rr,rg,rb
0.03529412,0.03529412,0.043137256,0.015686275,0.015686275,0.007843138,0.03701353,0.046508834,0.030942647,0.013997438,0.017588286,0.011701607,0.043366253,0.0151200015,0.0016888371,-0.0019020103,-0.0038584694
0.007843138,0.011764706,0.019607844,0.0,0.0,0.007843138,0.009117473,0.01595603,0.014407499,0.0021178909,0.003706414,0.003346707,0.014390348,0.00056627457,-0.0021178909,-0.003706414,0.004496431
0.08235294,0.08627451,0.105882354,0.043137256,0.06666667,0.06666667,0.08696721,0.113140084,0.07620476,0.048419703,0.062991664,0.04242762,0.104909,0.061664313,-0.0052824467,0.0036750063,0.024239048
0.10980392,0.10980392,0.11764706,0.078431375,0.078431375,0.08627451,0.11415158,0.14123525,0.08408494,0.06795437,0.08407726,0.050055716,0.131351,0.07899765,0.010477006,-0.005645886,0.036218796
0.078431375,0.047058824,0.09803922,0.043137256,0.023529412,0.047058824,0.08009607,0.0755906,0.06909538,0.03962192,0.037393153,0.034180097,0.07607951,0.029396862,0.0035153367,-0.0138637405,0.012878727
0.05882353,0.047058824,0.07450981,0.02745098,0.023529412,0.043137256,0.06098936,0.06747931,0.053018592,0.028433975,0.031459667,0.024717906,0.06505548,0.025778824,-0.0009829942,-0.007930255,0.01841935
0.050980393,0.043137256,0.047058824,0.02745098,0.019607844,0.023529412,0.05196944,0.056939226,0.03315832,0.022156775,0.024275606,0.014136798,0.054165673,0.021558432,0.0052942056,-0.0046677627,0.0093926145
0.02745098,0.019607844,0.023529412,0.007843138,0.007843138,0.015686275,0.027610054,0.027025621,0.016376544,0.008458451,0.008279407,0.00501702,0.026381008,0.008409413,-0.00061531365,-0.00043626968,0.010669256
0.15294118,0.10980392,0.14117648,0.101960786,0.06666667,0.08627451,0.15447833,0.15318175,0.09868195,0.09855611,0.0977289,0.062958404,0.14952251,0.07558589,0.003404677,-0.03106223,0.023316108
0.09803922,0.09803922,0.105882354,0.07450981,0.07450981,0.08235294,0.101971895,0.12627845,0.07569405,0.058788225,0.07280129,0.043638676,0.11745868,0.07507608,0.015721582,0.001708515,0.038714267
0.02745098,0.019607844,0.023529412,0.011764706,0.007843138,0.0,0.027610054,0.027025621,0.016376544,0.008458451,0.008279407,0.00501702,0.026381008,0.008110588,0.0033062547,-0.00043626968,-0.00501702
0.14509805,0.101960786,0.11764706,0.101960786,0.078431375,0.078431375,0.14540963,0.13993369,0.08154806,0.0881935,0.084872246,0.049460333,0.13688244,0.08343373,0.013767287,-0.0064408705,0.028971042
0.019607844,0.05882353,0.09411765,0.007843138,0.02745098,0.043137256,0.027666785,0.07576493,0.07038565,0.012906532,0.035344277,0.032834847,0.06515088,0.024414903,-0.005063394,-0.007893296,0.0103024095
0.05490196,0.05882353,0.06666667,0.02745098,0.03529412,0.03137255,0.057836246,0.07578324,0.047971055,0.02770902,0.036307324,0.022982663,0.06995966,0.03334353,-0.00025803968,-0.0010132045,0.008389888
0.10980392,0.101960786,0.12156863,0.05882353,0.0627451,0.07058824,0.113816805,0.1350001,0.08665272,0.06722316,0.07973456,0.051179342,0.12700585,0.06247765,-0.008399632,-0.016989455,0.019408897
0.105882354,0.09019608,0.14509805,0.07058824,0.0627451,0.08235294,0.110845484,0.12869462,0.10373348,0.06501231,0.075481065,0.06084103,0.123097695,0.06582824,0.005575925,-0.012735963,0.021511912
0.07450981,0.07058824,0.101960786,0.047058824,0.043137256,0.06666667,0.07851263,0.09693373,0.07317862,0.041821808,0.051634286,0.038980506,0.09130228,0.045669805,0.005237017,-0.00849703,0.027686164
0.101960786,0.101960786,0.13333334,0.0627451,0.06666667,0.08627451,0.10745514,0.13617933,0.09580095,0.06348054,0.08044973,0.056595672,0.12715726,0.06724863,-0.00073543936,-0.01378306,0.02967884
0.09019608,0.09411765,0.101960786,0.05490196,0.05882353,0.06666667,0.09437532,0.12065364,0.07314372,0.05364082,0.06857683,0.041573253,0.11163665,0.05855608,0.0012611412,-0.009753298,0.025093418
0.03137255,0.07058824,0.105882354,0.003921569,0.039215688,0.05882353,0.03984648,0.090721734,0.07877654,0.020015663,0.045571294,0.039570987,0.07904322,0.033127844,-0.016094094,-0.006355606,0.019252542
0.09411765,0.07450981,0.09019608,0.05882353,0.050980393,0.0627451,0.09577031,0.10119928,0.06344911,0.05202314,0.054972198,0.034466024,0.09731952,0.053497255,0.006800391,-0.003991805,0.028279077
0.07450981,0.078431375,0.09803922,0.047058824,0.050980393,0.06666667,0.07884741,0.10316889,0.070610836,0.04264574,0.055800363,0.038190875,0.095647454,0.051279217,0.004413083,-0.0048199706,0.028475795
0.050980393,0.07058824,0.09411765,0.03529412,0.039215688,0.05882353,0.056818157,0.091460094,0.06888842,0.029000415,0.04668192,0.035161167,0.082465544,0.03979765,0.0062937047,-0.0074662305,0.023662362
0.09803922,0.07058824,0.09803922,0.05490196,0.047058824,0.05882353,0.099495426,0.09994972,0.068813846,0.05408567,0.05433262,0.037407175,0.097605124,0.049575686,0.00081629306,-0.007273797,0.021416355
0.05490196,0.03529412,0.05882353,0.015686275,0.007843138,0.019607844,0.055645783,0.052981697,0.041249454,0.02339863,0.022278404,0.017345084,0.05270101,0.010360001,-0.007712355,-0.014435266,0.00226276
0.08235294,0.078431375,0.101960786,0.050980393,0.050980393,0.05882353,0.08615798,0.105266504,0.07300257,0.047044773,0.057478584,0.039861534,0.09887458,0.051546667,0.00393562,-0.0064981915,0.018961996
0.05882353,0.0627451,0.07058824,0.02745098,0.03529412,0.03137255,0.06189614,0.08076884,0.050768018,0.03036619,0.039625116,0.024906741,0.074590445,0.03334353,-0.0029152092,-0.0043309964,0.0064658094
0.007843138,0.023529412,0.02745098,0.0,0.0,0.007843138,0.010449927,0.028176013,0.020653289,0.0030712914,0.008281086,0.0060701156,0.023864307,0.00056627457,-0.0030712914,-0.008281086,0.0017730221
0.015686275,0.050980393,0.078431375,0.011764706,0.02745098,0.039215688,0.022609208,0.0647945,0.058775123,0.009756632,0.027961003,0.02536344,0.055391308,0.024965491,0.002008074,-0.00051002204,0.013852248
0.09803922,0.09019608,0.10980392,0.0627451,0.06666667,0.08235294,0.10163712,0.120043285,0.07826183,0.058054093,0.06856751,0.044702366,0.11311351,0.06696549,0.0046910085,-0.0019008368,0.037650578
0.06666667,0.08627451,0.101960786,0.039215688,0.05490196,0.05882353,0.072583295,0.10976407,0.074306294,0.03969958,0.06003568,0.04064198,0.09929939,0.051850196,-0.00048389286,-0.0051337183,0.018181551
0.078431375,0.050980393,0.08235294,0.043137256,0.015686275,0.043137256,0.07943317,0.075840935,0.057714023,0.039125007,0.037355643,0.028427185,0.07529588,0.023504315,0.0040122494,-0.021669367,0.014710071
0.0627451,0.043137256,0.05882353,0.02745098,0.02745098,0.03529412,0.06329113,0.06131447,0.0410734,0.0285847,0.027691964,0.018550321,0.0602733,0.028017256,-0.0011337195,-0.00024098344,0.016743798
0.03137255,0.06666667,0.09411765,0.015686275,0.03529412,0.050980393,0.038848802,0.084736906,0.06996297,0.01899516,0.041432194,0.034208465,0.07391442,0.03225804,-0.0033088848,-0.006138075,0.016771927
0.101960786,0.105882354,0.11372549,0.06666667,0.07450981,0.07058824,0.106555015,0.13561045,0.08153461,0.062789634,0.07991112,0.04804587,0.12552898,0.07255922,0.0038770363,-0.0054013133,0.022542369
0.105882354,0.08627451,0.101960786,0.07450981,0.05490196,0.07058824,0.10795,0.11615608,0.071839996,0.06126755,0.06592495,0.040773142,0.11121185,0.060203135,0.013242256,-0.011022989,0.029815096
0.105882354,0.09803922,0.10980392,0.07450981,0.06666667,0.078431375,0.109282464,0.12837607,0.07808578,0.06370758,0.07483844,0.045521084,0.12068581,0.069183536,0.010802224,-0.008171767,0.03291029
0.02745098,0.03137255,0.039215688,0.011764706,0.011764706,0.011764706,0.029416962,0.040884033,0.028392315,0.010384182,0.014432057,0.010022483,0.03754423,0.011764706,0.0013805237,-0.0026673507,0.0017422233
0.12156863,0.09803922,0.14509805,0.07058824,0.05882353,0.08627451,0.12556417,0.1383058,0.103064165,0.07501943,0.08263202,0.061576597,0.13305248,0.06330667,-0.004431188,-0.02380849,0.024697915
0.015686275,0.09803922,0.20392157,0.007843138,0.07058824,0.13333334,0.03363244,0.13333559,0.15299803,0.019238513,0.07627097,0.08751833,0.11355832,0.06177883,-0.011395375,-0.005682729,0.045815013
0.09019608,0.078431375,0.105882354,0.05490196,0.05882353,0.06666667,0.09346854,0.10736412,0.07539429,0.051666077,0.059347056,0.041675273,0.1021017,0.05855608,0.003235884,-0.0005235262,0.024991397
0.011764706,0.02745098,0.039215688,0.015686275,0.007843138,0.019607844,0.014984276,0.03480004,0.029220233,0.004852529,0.011269695,0.009462722,0.030184349,0.010360001,0.010833746,-0.0034265574,0.010145122
0.007843138,0.023529412,0.02745098,0.0,0.011764706,0.015686275,0.010449927,0.028176013,0.020653289,0.0030712914,0.008281086,0.0060701156,0.023864307,0.009546666,-0.0030712914,0.0034836205,0.00961616
0.019607844,0.07058824,0.14509805,0.007843138,0.043137256,0.078431375,0.03160872,0.09699628,0.10836633,0.016257368,0.049888264,0.055736247,0.0839158,0.038181964,-0.00841423,-0.0067510083,0.022695128
0.003921569,0.003921569,0.011764706,0.0,0.0,0.0,0.0045343484,0.00662403,0.008566942,0.00094142265,0.0013752829,0.0017786709,0.0063200416,0.0,-0.00094142265,-0.0013752829,-0.0017786709
0.05490196,0.03529412,0.05882353,0.011764706,0.003921569,0.015686275,0.055645783,0.052981697,0.041249454,0.02339863,0.022278404,0.017345084,0.05270101,0.006438432,-0.011633924,-0.018356835,-0.0016588084
0.019607844,0.08627451,0.16470589,0.011764706,0.043137256,0.09411765,0.03393885,0.11520109,0.12342569,0.01850515,0.06281337,0.06729783,0.09851856,0.040148236,-0.0067404443,-0.019676115,0.026819818
0.10980392,0.08235294,0.10980392,0.05882353,0.039215688,0.05490196,0.11167513,0.11490652,0.077204734,0.063443616,0.065279394,0.043860685,0.111497454,0.044516865,-0.0046200864,-0.026063707,0.011041276
0.0,0.003921569,0.023529412,0.003921569,0.0,0.007843138,0.0017093534,0.008442473,0.017468542,0.0003379273,0.0016690183,0.0034534095,0.007662694,0.0014000001,0.0035836415,-0.0016690183,0.0043897284
0.05490196,0.07450981,0.08627451,0.03137255,0.047058824,0.050980393,0.060166378,0.093988046,0.06303042,0.031048141,0.04850141,0.0325261,0.08456242,0.04400706,0.00032440946,-0.0014425851,0.018454295
0.007843138,0.0,0.003921569,0.0,0.0,0.0,0.0073105674,0.0020976164,0.002391729,0.0019585562,0.0005619673,0.0006407623,0.0032271247,0.0,-0.0019585562,-0.0005619673,-0.0006407623
