index,output_luminance
0,0.000393
1,0.000782
2,0.001305
3,0.002261
4,0.003515
5,0.005011
6,0.006659
7,0.008333
8,0.010137
9,0.012030
10,0.014021
11,0.016069
12,0.018348
13,0.020687
14,0.023134
15,0.025726
16,0.028371
17,0.030980
18,0.033760
19,0.036598
20,0.039470
21,0.042143
22,0.044838
23,0.047449
24,0.049942
25,0.052387
26,0.055142
27,0.058029
28,0.060936
29,0.063912
30,0.066905
31,0.069952
32,0.072834
33,0.075624
34,0.078642
35,0.081690
36,0.084845
37,0.088204
38,0.091996
39,0.095995
40,0.100342
41,0.104754
42,0.109988
43,0.116749
44,0.123764
45,0.130545
46,0.134868
47,0.138377
48,0.140133
49,0.141845
50,0.143497
51,0.147762
52,0.152024
53,0.156465
54,0.160535
55,0.164792
56,0.168849
57,0.173053
58,0.176666
59,0.179012
60,0.180844
61,0.182519
62,0.184315
63,0.186172
64,0.189666
65,0.193341
66,0.197402
67,0.201130
68,0.205460
69,0.209262
70,0.213717
71,0.217925
72,0.222195
73,0.226184
74,0.230535
75,0.234399
76,0.238471
77,0.242594
78,0.246902
79,0.250652
80,0.254548
81,0.258039
82,0.261486
83,0.264729
84,0.268162
85,0.271475
86,0.274956
87,0.277999
88,0.281507
89,0.284764
90,0.287950
91,0.290924
92,0.294383
93,0.297456
94,0.300939
95,0.304327
96,0.307824
97,0.311374
98,0.314769
99,0.318165
100,0.321832
101,0.325555
102,0.329150
103,0.333049
104,0.336860
105,0.340555
106,0.344361
107,0.348249
108,0.352013
109,0.355645
110,0.359308
111,0.362918
112,0.366504
113,0.370150
114,0.374182
115,0.378235
116,0.382110
117,0.386212
118,0.390285
119,0.394015
120,0.397687
121,0.401528
122,0.405431
123,0.409036
124,0.412913
125,0.416773
126,0.420587
127,0.423943
128,0.427688
129,0.431451
130,0.435170
131,0.439088
132,0.443255
133,0.447156
134,0.450998
135,0.454811
136,0.458420
137,0.461894
138,0.465856
139,0.469647
140,0.473899
141,0.478266
142,0.483750
143,0.489118
144,0.494439
145,0.499617
146,0.504718
147,0.509096
148,0.513319
149,0.517759
150,0.521916
151,0.525502
152,0.528643
153,0.531553
154,0.534097
155,0.536691
156,0.539635
157,0.543145
158,0.546676
159,0.550719
160,0.554657
161,0.558868
162,0.562695
163,0.566715
164,0.570481
165,0.574139
166,0.577529
167,0.580555
168,0.583489
169,0.586396
170,0.589586
171,0.592888
172,0.596290
173,0.599647
174,0.602847
175,0.605983
176,0.608951
177,0.612141
178,0.615261
179,0.618489
180,0.621469
181,0.624531
182,0.627458
183,0.630603
184,0.633935
185,0.637517
186,0.641144
187,0.644690
188,0.648341
189,0.651860
190,0.655109
191,0.658560
192,0.662528
193,0.666327
194,0.670484
195,0.675047
196,0.679606
197,0.683883
198,0.688080
199,0.691601
200,0.694945
201,0.698140
202,0.701336
203,0.704249
204,0.707428
205,0.710548
206,0.713626
207,0.716635
208,0.719897
209,0.723082
210,0.726143
211,0.729266
212,0.732297
213,0.735189
214,0.737895
215,0.740866
216,0.743438
217,0.746071
218,0.748713
219,0.751385
220,0.754029
221,0.756827
222,0.759676
223,0.763004
224,0.766414
225,0.770039
226,0.774071
227,0.777934
228,0.781197
229,0.784746
230,0.788092
231,0.791419
232,0.795626
233,0.800681
234,0.806210
235,0.813046
236,0.821335
237,0.830871
238,0.841725
239,0.853409
240,0.864601
241,0.875535
242,0.886016
243,0.897276
244,0.909234
245,0.920493
246,0.932332
247,0.946985
248,0.961433
249,0.973089
250,0.983894
251,0.992125
252,0.995286
253,0.995286
254,0.995286
255,0.995286
